user_id,item_id,age_bucket,category,clicked
403,101,25-34,tech,0
331,76,25-34,sports,0
84,157,35-44,news,0
239,155,35-44,movies,0
256,276,25-34,movies,0
20,221,35-44,news,0
13,46,18-24,tech,0
344,137,35-44,tech,0
89,240,35-44,movies,0
92,299,25-34,movies,0
240,178,25-34,news,0
53,82,25-34,movies,0
147,205,35-44,tech,0
161,129,25-34,tech,0
206,263,18-24,movies,0
96,265,25-34,movies,0
389,26,18-24,news,0
474,147,25-34,movies,0
498,122,35-44,sports,0
7,282,25-34,tech,0
430,58,25-34,tech,0
78,255,35-44,news,0
139,212,25-34,movies,0
282,74,25-34,sports,0
260,69,18-24,news,0
437,212,25-34,news,0
144,152,35-44,movies,0
228,275,25-34,news,0
390,278,25-34,movies,0
445,96,35-44,sports,0
119,210,18-24,news,0
361,195,25-34,sports,0
18,64,35-44,news,0
447,225,18-24,movies,1
73,209,35-44,sports,0
400,135,25-34,movies,0
436,168,35-44,movies,0
320,249,35-44,tech,0
120,147,18-24,tech,0
50,51,25-34,sports,0
462,14,18-24,news,0
150,183,25-34,movies,0
271,210,35-44,sports,0
40,195,35-44,sports,0
298,73,18-24,movies,0
235,130,35-44,tech,0
238,147,35-44,sports,0
483,176,35-44,news,0
217,128,25-34,news,0
196,247,18-24,sports,0
183,294,25-34,news,1
424,202,25-34,tech,0
351,25,35-44,movies,0
462,146,18-24,news,0
97,128,35-44,sports,0
462,20,25-34,movies,0
186,67,18-24,news,0
212,89,18-24,sports,0
448,187,35-44,news,0
131,246,25-34,news,0
239,38,18-24,sports,0
370,203,35-44,news,0
202,7,25-34,tech,0
344,134,35-44,movies,0
481,190,18-24,sports,0
317,287,25-34,sports,0
325,237,35-44,news,0
59,71,18-24,tech,0
252,59,18-24,sports,0
69,198,25-34,news,0
380,276,25-34,sports,0
335,50,25-34,movies,0
143,16,35-44,news,0
227,120,25-34,tech,0
188,278,35-44,news,0
141,97,18-24,movies,0
108,10,18-24,news,0
64,289,18-24,tech,0
283,106,35-44,sports,0
119,168,18-24,tech,0
74,66,35-44,news,0
56,13,18-24,tech,0
403,121,35-44,news,1
135,26,18-24,movies,0
381,32,25-34,movies,0
262,55,25-34,sports,0
22,266,25-34,movies,0
15,31,25-34,movies,0
55,251,35-44,movies,0
41,164,35-44,sports,0
140,299,35-44,news,0
305,271,25-34,movies,0
220,50,35-44,tech,0
333,282,35-44,sports,0
454,116,25-34,news,0
204,212,35-44,tech,0
160,130,25-34,sports,0
242,34,18-24,tech,0
49,190,18-24,tech,0
287,287,25-34,tech,0
447,216,35-44,tech,0
307,159,25-34,tech,0
108,79,35-44,movies,0
55,179,35-44,news,0
142,293,18-24,movies,0
498,285,18-24,news,0
139,158,25-34,news,1
445,73,35-44,movies,0
379,15,18-24,sports,0
232,174,18-24,news,0
166,290,35-44,tech,0
79,80,35-44,tech,0
139,226,35-44,movies,0
226,212,25-34,sports,0
58,176,25-34,tech,0
347,249,35-44,news,0
202,28,18-24,sports,0
108,70,25-34,news,0
3,254,35-44,movies,0
194,272,35-44,sports,0
426,181,18-24,movies,0
21,223,18-24,movies,0
441,160,35-44,movies,0
363,213,25-34,tech,0
494,166,18-24,movies,0
470,185,18-24,movies,0
124,223,35-44,movies,0
202,158,35-44,news,0
398,86,18-24,tech,0
99,178,25-34,sports,0
74,131,18-24,sports,0
389,38,18-24,movies,0
288,296,25-34,news,0
321,161,18-24,movies,0
226,155,25-34,tech,0
37,158,25-34,movies,0
188,146,18-24,tech,0
259,196,25-34,tech,0
414,292,35-44,sports,0
243,256,18-24,tech,0
415,175,35-44,tech,0
88,20,18-24,movies,0
268,267,35-44,sports,0
469,144,25-34,movies,0
347,26,35-44,news,0
48,285,35-44,movies,0
370,76,25-34,tech,0
72,179,25-34,movies,0
362,43,25-34,movies,0
168,65,35-44,tech,0
216,260,25-34,tech,0
92,109,25-34,movies,0
70,79,18-24,news,0
51,259,35-44,tech,0
448,67,35-44,movies,0
92,84,35-44,movies,0
186,121,25-34,news,0
401,229,18-24,sports,0
414,240,18-24,news,0
292,225,25-34,news,0
257,270,25-34,sports,0
410,70,25-34,tech,0
447,190,35-44,tech,0
264,63,25-34,tech,0
139,230,35-44,sports,0
46,113,25-34,news,0
212,27,25-34,news,0
41,191,18-24,tech,0
50,171,18-24,sports,0
469,241,35-44,sports,0
240,229,35-44,tech,0
9,131,18-24,sports,0
372,270,25-34,tech,0
121,154,18-24,tech,0
327,234,18-24,tech,0
255,274,18-24,sports,0
149,219,18-24,news,0
213,95,35-44,tech,0
184,34,35-44,tech,0
240,22,35-44,movies,0
129,8,25-34,tech,0
375,53,35-44,news,0
180,279,25-34,sports,0
350,237,35-44,movies,0
415,69,18-24,movies,0
103,22,18-24,tech,0
158,263,25-34,movies,0
385,97,25-34,news,0
24,169,25-34,tech,0
223,204,35-44,movies,0
197,173,18-24,movies,0
188,265,25-34,tech,0
40,220,35-44,sports,0
164,52,18-24,news,0
156,228,35-44,movies,0
227,179,25-34,tech,0
466,180,35-44,movies,0
405,29,18-24,movies,0
410,81,18-24,sports,0
347,224,18-24,sports,0
398,187,25-34,movies,0
16,78,35-44,movies,0
190,227,18-24,sports,0
203,160,35-44,news,0
58,13,35-44,sports,0
198,287,18-24,news,0
360,228,18-24,news,0
251,102,18-24,sports,0
231,88,35-44,movies,0
414,163,35-44,news,0
281,277,25-34,news,0
364,89,25-34,sports,0
102,71,18-24,movies,0
283,293,25-34,movies,0
282,66,35-44,tech,0
203,245,35-44,movies,0
421,294,18-24,sports,0
328,37,25-34,movies,0
176,65,35-44,sports,0
66,221,35-44,tech,0
265,78,25-34,sports,0
478,115,25-34,news,0
128,100,35-44,news,0
155,273,18-24,sports,0
297,78,18-24,news,0
288,21,18-24,tech,0
328,295,25-34,sports,0
213,15,25-34,news,0
154,247,18-24,movies,0
37,30,18-24,movies,0
237,104,25-34,sports,0
367,163,35-44,news,0
66,189,35-44,tech,0
238,62,25-34,movies,0
49,25,25-34,movies,0
214,127,18-24,news,0
369,160,18-24,sports,0
263,239,25-34,news,0
46,201,35-44,movies,0
110,298,25-34,tech,0
253,240,25-34,tech,0
220,68,25-34,news,0
187,23,25-34,tech,0
99,185,35-44,news,0
258,230,35-44,news,0
319,60,18-24,tech,0
406,173,35-44,news,0
101,260,25-34,tech,0
70,170,25-34,movies,0
457,263,18-24,news,0
163,83,25-34,news,0
259,260,35-44,movies,0
153,243,18-24,news,0
56,213,35-44,news,0
371,13,35-44,movies,0
335,296,35-44,sports,0
298,245,18-24,movies,0
348,124,18-24,tech,0
225,160,25-34,sports,0
104,210,35-44,movies,0
376,31,35-44,sports,0
287,166,35-44,movies,0
160,88,25-34,news,0
346,135,35-44,movies,0
126,142,35-44,news,0
498,152,25-34,sports,0
250,162,25-34,news,0
478,140,25-34,tech,0
278,194,25-34,news,0
411,74,25-34,tech,0
365,40,25-34,movies,0
382,245,18-24,sports,0
138,287,35-44,news,0
315,122,18-24,tech,0
271,115,35-44,sports,0
211,169,35-44,movies,0
394,70,18-24,sports,0
478,243,25-34,sports,0
147,164,25-34,tech,0
45,293,18-24,tech,0
89,213,18-24,tech,0
203,253,18-24,news,0
4,152,35-44,tech,0
171,145,25-34,movies,0
68,258,25-34,news,0
57,169,18-24,movies,0
367,95,18-24,news,0
290,98,18-24,movies,0
263,167,18-24,movies,0
94,71,25-34,news,0
3,133,25-34,sports,0
136,168,25-34,tech,0
184,120,18-24,tech,0
81,207,35-44,news,0
327,151,25-34,sports,0
68,244,18-24,movies,0
310,191,25-34,movies,0
410,111,18-24,tech,0
270,185,18-24,tech,0
280,258,18-24,sports,0
437,266,25-34,tech,0
367,298,25-34,tech,0
228,28,25-34,sports,0
233,288,18-24,movies,0
157,11,25-34,news,0
381,111,35-44,tech,0
176,32,35-44,tech,0
35,241,18-24,news,0
393,69,35-44,movies,0
456,195,25-34,movies,0
349,276,18-24,news,0
275,201,35-44,sports,0
114,1,18-24,news,0
368,278,25-34,movies,0
126,235,25-34,sports,0
479,57,18-24,movies,0
479,8,18-24,sports,0
304,17,25-34,tech,0
22,205,25-34,sports,0
386,28,18-24,news,0
469,294,25-34,news,0
448,73,35-44,sports,0
140,31,35-44,sports,0
218,284,25-34,tech,0
482,195,35-44,news,0
209,76,25-34,movies,0
275,242,18-24,sports,0
362,73,25-34,tech,0
495,213,35-44,sports,0
130,104,25-34,tech,0
433,189,18-24,sports,0
193,20,18-24,sports,0
300,286,18-24,movies,0
464,170,25-34,tech,0
97,60,35-44,movies,0
356,104,25-34,sports,0
397,144,25-34,movies,0
183,157,25-34,news,0
254,238,18-24,movies,0
163,104,25-34,news,0
288,113,35-44,sports,1
283,299,35-44,movies,0
100,168,18-24,movies,0
125,255,35-44,news,0
420,250,35-44,movies,0
375,180,18-24,sports,0
250,94,35-44,tech,0
429,38,35-44,tech,0
211,70,35-44,sports,0
77,4,18-24,movies,0
316,247,35-44,movies,1
272,282,25-34,tech,1
369,140,35-44,news,1
416,220,18-24,tech,0
268,76,18-24,sports,0
129,181,25-34,movies,0
491,207,25-34,sports,0
115,153,35-44,tech,0
439,16,18-24,movies,0
282,243,18-24,tech,0
42,255,25-34,news,0
439,48,35-44,tech,0
461,290,25-34,news,0
38,143,35-44,tech,0
435,161,18-24,sports,0
385,203,18-24,news,0
123,290,25-34,news,0
378,71,35-44,tech,0
498,177,18-24,tech,0
429,38,25-34,movies,0
167,15,35-44,news,0
230,251,18-24,news,0
192,221,18-24,movies,0
316,151,18-24,tech,0
78,194,35-44,sports,0
162,184,18-24,tech,1
157,227,25-34,news,0
44,95,25-34,movies,0
262,208,18-24,tech,0
283,47,35-44,news,0
6,149,25-34,movies,0
371,286,18-24,sports,0
86,71,25-34,news,0
74,32,18-24,movies,0
153,247,18-24,news,0
126,253,35-44,sports,0
69,155,18-24,movies,0
317,194,25-34,movies,0
417,69,25-34,news,0
355,102,25-34,news,0
203,163,25-34,movies,0
400,124,25-34,movies,0
402,201,25-34,tech,0
102,279,18-24,tech,0
236,107,25-34,news,0
35,209,35-44,movies,0
155,123,25-34,sports,0
404,193,18-24,movies,0
245,298,25-34,movies,0
404,184,35-44,tech,0
127,181,18-24,tech,0
330,204,25-34,movies,0
50,132,18-24,sports,0
200,237,35-44,sports,0
12,247,18-24,news,0
492,43,18-24,sports,0
175,233,18-24,movies,0
49,224,35-44,movies,0
153,22,35-44,tech,1
175,55,35-44,sports,0
379,124,35-44,sports,0
169,286,25-34,movies,0
207,94,18-24,movies,0
377,101,25-34,movies,0
360,109,18-24,news,0
414,32,35-44,tech,0
274,95,25-34,news,0
58,134,35-44,movies,0
327,160,35-44,movies,0
300,58,25-34,news,0
316,88,35-44,news,0
302,43,35-44,sports,0
122,156,18-24,sports,0
72,261,25-34,movies,0
294,196,25-34,sports,0
275,88,35-44,sports,0
71,95,25-34,movies,0
443,183,18-24,movies,0
417,196,35-44,movies,0
251,212,35-44,movies,0
42,289,18-24,sports,0
140,115,35-44,news,0
234,289,35-44,movies,0
57,293,18-24,news,0
421,187,35-44,tech,0
225,279,18-24,movies,0
424,126,25-34,tech,0
178,44,25-34,tech,0
121,107,35-44,news,0
312,219,18-24,sports,0
416,105,18-24,news,0
305,275,18-24,news,0
149,148,35-44,news,0
263,48,18-24,movies,0
141,64,35-44,sports,0
364,164,18-24,movies,0
295,137,35-44,movies,0
38,47,25-34,news,0
449,188,25-34,movies,0
1,47,35-44,movies,0
357,183,18-24,movies,0
219,108,25-34,news,0
145,172,35-44,sports,0
248,175,35-44,tech,0
320,235,18-24,tech,0
80,225,25-34,tech,0
219,103,35-44,sports,0
154,81,25-34,tech,0
128,42,25-34,sports,0
320,156,35-44,sports,0
46,48,18-24,sports,0
67,115,35-44,movies,1
356,175,18-24,movies,0
244,36,18-24,movies,0
412,52,18-24,news,0
153,70,25-34,sports,0
346,73,18-24,tech,0
84,225,25-34,sports,0
77,210,35-44,movies,0
44,51,18-24,tech,0
196,179,25-34,news,0
126,141,35-44,tech,0
307,145,35-44,tech,0
337,154,18-24,sports,0
151,27,18-24,movies,0
123,255,35-44,tech,0
6,184,25-34,sports,0
429,291,25-34,news,0
88,241,18-24,tech,0
7,134,18-24,tech,0
485,203,35-44,news,0
256,212,25-34,movies,0
274,275,35-44,sports,0
158,40,35-44,sports,0
79,274,25-34,movies,0
390,33,25-34,movies,0
433,122,18-24,sports,0
222,59,25-34,tech,0
379,89,18-24,tech,0
359,5,18-24,movies,0
267,264,35-44,news,0
64,137,35-44,tech,0
15,171,25-34,news,0
134,295,35-44,tech,0
261,184,18-24,movies,0
85,188,18-24,news,0
457,293,35-44,tech,0
260,1,18-24,tech,0
241,186,25-34,sports,0
491,18,35-44,movies,0
127,213,35-44,news,0
39,292,25-34,tech,0
461,26,18-24,sports,0
23,205,18-24,movies,0
396,159,25-34,tech,0
4,188,18-24,news,0
155,124,25-34,news,0
252,100,35-44,sports,0
477,209,18-24,sports,0
325,4,25-34,tech,0
192,157,18-24,sports,0
121,214,25-34,tech,0
72,143,18-24,tech,0
459,266,25-34,news,0
382,43,35-44,tech,0
326,201,18-24,tech,0
493,66,18-24,news,0
161,201,35-44,news,0
139,119,18-24,sports,0
394,299,18-24,sports,0
230,238,25-34,movies,0
183,106,25-34,news,0
436,61,18-24,sports,0
155,20,18-24,news,0
364,127,25-34,movies,0
346,153,25-34,sports,0
207,231,35-44,sports,0
52,71,18-24,tech,0
399,113,18-24,sports,0
190,43,35-44,news,0
38,11,18-24,sports,0
227,65,18-24,news,0
482,236,18-24,sports,0
221,202,25-34,tech,0
218,88,25-34,sports,0
140,143,25-34,sports,0
317,125,35-44,news,0
451,281,25-34,tech,0
196,70,25-34,sports,0
408,269,18-24,tech,0
400,183,25-34,movies,0
289,257,25-34,movies,0
13,163,35-44,sports,0
415,143,18-24,movies,0
392,299,18-24,sports,0
336,123,25-34,tech,0
485,112,35-44,movies,0
429,88,18-24,sports,0
412,183,35-44,tech,0
180,290,35-44,sports,0
96,252,35-44,news,0
19,46,18-24,sports,0
10,269,25-34,tech,0
314,103,18-24,news,0
470,165,18-24,tech,0
360,72,18-24,news,0
191,202,35-44,tech,0
165,69,18-24,movies,0
491,249,35-44,news,0
495,287,35-44,news,0
301,89,25-34,news,0
150,65,18-24,tech,0
485,293,25-34,tech,0
162,113,35-44,tech,0
72,169,35-44,tech,0
163,85,35-44,tech,0
343,171,25-34,tech,0
127,34,25-34,news,0
368,0,18-24,movies,0
214,85,25-34,movies,0
179,279,25-34,tech,0
403,295,35-44,sports,0
37,17,25-34,tech,0
487,53,18-24,news,0
192,82,35-44,tech,0
459,47,25-34,movies,0
220,84,35-44,movies,0
51,169,18-24,sports,0
283,276,25-34,news,0
49,25,25-34,movies,0
184,1,25-34,tech,0
338,245,18-24,tech,1
87,149,18-24,movies,0
157,203,25-34,movies,0
135,46,35-44,movies,0
453,195,25-34,sports,0
134,225,25-34,news,0
137,288,18-24,sports,0
341,49,18-24,news,0
211,116,35-44,tech,0
419,267,25-34,movies,0
120,243,25-34,tech,0
437,17,35-44,sports,0
387,229,18-24,sports,0
413,98,18-24,tech,0
349,222,18-24,sports,0
132,163,35-44,tech,0
284,203,35-44,news,0
266,234,18-24,movies,0
76,75,35-44,tech,0
288,51,25-34,news,0
135,196,35-44,movies,0
242,19,18-24,news,0
316,205,18-24,movies,0
169,121,18-24,movies,0
459,190,18-24,news,0
155,159,25-34,movies,0
350,50,18-24,sports,0
380,226,25-34,news,0
309,45,18-24,movies,0
421,208,35-44,movies,0
444,191,18-24,sports,0
363,259,25-34,sports,0
268,291,18-24,sports,0
426,102,18-24,sports,0
25,184,35-44,sports,0
421,237,35-44,movies,0
63,15,18-24,news,0
228,90,25-34,news,0
428,132,35-44,tech,0
197,25,18-24,sports,0
331,115,35-44,sports,0
209,262,18-24,tech,0
67,88,35-44,tech,0
311,156,35-44,news,0
192,178,25-34,news,0
154,266,35-44,movies,0
3,261,35-44,news,0
304,144,25-34,tech,0
172,141,35-44,news,0
133,152,18-24,sports,0
123,29,35-44,movies,0
348,71,35-44,tech,0
151,132,25-34,movies,0
18,298,35-44,sports,0
365,113,35-44,movies,0
343,183,35-44,news,0
430,285,18-24,news,0
65,132,35-44,sports,0
460,171,35-44,tech,0
114,157,25-34,news,0
299,150,25-34,tech,0
443,298,35-44,tech,0
99,256,18-24,movies,0
211,27,18-24,sports,0
175,209,35-44,movies,0
441,92,18-24,movies,0
90,160,35-44,tech,1
140,107,18-24,sports,0
390,45,18-24,movies,0
206,219,25-34,movies,1
273,102,35-44,news,0
456,164,35-44,sports,1
2,127,18-24,news,0
52,196,35-44,news,0
421,23,25-34,news,0
266,268,25-34,movies,0
68,175,25-34,news,0
84,206,18-24,sports,0
67,108,35-44,tech,0
86,63,25-34,tech,0
327,130,35-44,tech,0
24,55,35-44,tech,0
59,213,25-34,movies,0
129,242,35-44,sports,0
351,4,25-34,movies,0
339,266,25-34,sports,0
460,53,35-44,tech,0
401,54,25-34,sports,0
398,134,35-44,sports,0
209,151,18-24,tech,0
466,106,35-44,movies,0
1,6,35-44,tech,0
427,293,35-44,movies,0
46,261,18-24,tech,0
329,118,25-34,news,0
25,51,18-24,tech,0
184,160,25-34,tech,0
388,23,18-24,sports,0
87,168,25-34,movies,0
137,47,25-34,news,0
205,204,25-34,news,0
353,244,25-34,sports,0
356,30,18-24,tech,0
302,247,35-44,movies,0
194,183,35-44,tech,0
450,66,25-34,movies,0
210,225,18-24,tech,0
160,6,35-44,sports,0
342,173,35-44,tech,0
372,127,25-34,news,0
328,197,18-24,tech,1
478,80,35-44,movies,0
445,84,18-24,movies,0
169,142,18-24,sports,0
193,206,18-24,tech,0
410,293,25-34,tech,0
228,161,18-24,movies,0
9,52,25-34,movies,0
281,0,18-24,news,0
287,105,35-44,movies,0
186,27,18-24,movies,0
392,242,35-44,news,0
58,49,35-44,sports,1
181,149,35-44,news,0
23,84,25-34,sports,0
380,209,18-24,news,0
96,61,25-34,sports,0
400,97,35-44,news,0
212,23,35-44,tech,0
230,234,35-44,sports,0
2,271,35-44,tech,0
221,299,25-34,sports,0
88,65,18-24,movies,0
310,164,35-44,movies,0
311,127,25-34,movies,0
496,150,25-34,sports,0
308,262,25-34,news,0
478,283,35-44,sports,0
319,148,35-44,news,0
67,91,35-44,news,0
389,180,35-44,movies,0
482,213,35-44,news,0
216,6,35-44,tech,1
74,27,35-44,tech,0
384,82,25-34,news,0
31,151,18-24,tech,0
231,52,35-44,sports,0
287,199,18-24,news,0
24,195,25-34,movies,0
499,160,35-44,tech,1
128,103,35-44,movies,0
466,188,35-44,sports,0
493,99,25-34,movies,0
349,38,18-24,sports,0
61,193,18-24,movies,0
135,66,18-24,news,1
238,79,18-24,sports,0
305,26,35-44,news,0
293,281,25-34,tech,0
162,269,18-24,sports,0
402,258,18-24,movies,0
206,47,25-34,sports,0
339,169,25-34,news,0
486,271,25-34,tech,0
177,228,18-24,sports,0
349,164,25-34,tech,0
276,144,18-24,news,0
260,228,25-34,tech,0
333,98,25-34,tech,0
85,275,35-44,tech,0
107,109,35-44,movies,0
105,275,35-44,movies,0
481,36,35-44,sports,0
367,169,18-24,tech,0
91,128,35-44,tech,0
116,132,25-34,movies,0
207,221,25-34,tech,0
60,273,18-24,tech,0
299,23,35-44,tech,0
257,54,25-34,news,0
144,224,25-34,movies,0
15,242,18-24,sports,0
200,279,25-34,sports,0
454,191,18-24,sports,0
2,293,35-44,movies,0
484,43,25-34,sports,0
462,176,18-24,movies,0
435,262,18-24,sports,0
315,129,18-24,tech,0
409,290,18-24,movies,0
37,148,35-44,tech,0
101,297,25-34,news,0
343,120,18-24,news,0
460,99,25-34,movies,0
315,156,35-44,sports,0
186,161,25-34,sports,1
126,113,35-44,movies,0
184,68,35-44,news,0
236,228,25-34,news,0
55,89,35-44,tech,0
439,71,35-44,sports,0
453,39,35-44,tech,0
434,259,35-44,tech,0
296,207,35-44,sports,0
282,133,35-44,movies,0
76,187,25-34,sports,0
301,148,18-24,movies,0
46,203,25-34,tech,0
434,84,35-44,sports,0
91,289,35-44,sports,0
247,183,18-24,sports,0
118,32,25-34,news,0
342,105,35-44,news,0
469,232,18-24,tech,0
165,52,35-44,news,0
134,296,35-44,sports,0
193,187,35-44,tech,0
192,114,35-44,movies,0
444,176,25-34,movies,0
3,256,18-24,movies,0
39,263,35-44,news,0
95,80,25-34,tech,0
212,169,35-44,tech,0
245,245,18-24,sports,0
210,11,18-24,tech,0
303,82,18-24,tech,0
75,28,18-24,news,0
264,207,35-44,tech,0
372,145,18-24,sports,0
241,246,18-24,sports,0
307,73,35-44,sports,0
261,135,18-24,news,0
305,35,18-24,movies,0
55,8,18-24,movies,0
310,49,18-24,movies,0
307,19,35-44,tech,0
337,66,35-44,tech,0
396,220,35-44,movies,0
22,271,25-34,sports,0
246,195,25-34,tech,0
130,244,18-24,tech,0
448,278,25-34,news,0
363,3,35-44,tech,0
192,105,35-44,news,0
54,79,25-34,news,0
274,216,35-44,news,0
348,203,18-24,movies,0
285,247,18-24,news,0
247,129,25-34,news,0
203,70,35-44,tech,0
228,82,18-24,sports,0
402,173,35-44,tech,0
493,2,18-24,sports,0
307,222,18-24,tech,0
189,40,35-44,tech,0
476,205,35-44,news,0
305,29,18-24,movies,0
103,265,25-34,sports,0
306,261,35-44,sports,0
345,18,25-34,sports,0
499,80,18-24,news,0
180,202,25-34,sports,0
377,35,18-24,news,0
286,298,25-34,news,0
141,115,35-44,sports,0
206,294,18-24,news,0
259,54,35-44,tech,0
174,59,35-44,news,0
416,294,25-34,movies,0
288,247,18-24,news,0
234,235,35-44,tech,0
132,34,25-34,sports,0
117,161,25-34,news,0
4,134,18-24,news,0
344,175,18-24,sports,0
181,111,35-44,news,0
382,97,25-34,sports,0
123,135,18-24,sports,0
127,182,18-24,tech,0
40,252,35-44,tech,0
277,21,25-34,news,0
252,294,25-34,movies,0
391,261,25-34,movies,0
295,65,18-24,movies,0
276,16,35-44,news,0
351,89,25-34,tech,0
235,161,35-44,tech,1
107,194,35-44,tech,0
313,132,18-24,news,0
241,175,25-34,sports,0
107,214,35-44,news,0
205,143,25-34,sports,0
294,117,18-24,news,0
284,221,25-34,sports,0
491,76,25-34,tech,0
255,68,35-44,news,0
153,128,35-44,tech,0
353,83,18-24,sports,0
243,49,25-34,news,0
184,286,35-44,news,0
210,62,25-34,sports,0
332,275,18-24,news,0
344,261,25-34,movies,0
195,146,25-34,sports,0
327,172,25-34,movies,0
36,40,18-24,news,0
162,149,35-44,news,0
202,138,25-34,news,0
266,230,25-34,sports,0
11,64,35-44,sports,0
481,40,18-24,sports,0
48,32,25-34,tech,1
203,268,18-24,tech,0
79,43,35-44,movies,0
126,145,25-34,sports,0
429,87,18-24,tech,0
440,166,25-34,movies,0
276,139,35-44,movies,0
485,276,18-24,movies,0
325,288,25-34,news,0
246,276,18-24,tech,0
187,211,25-34,sports,0
0,267,18-24,news,0
273,4,35-44,movies,0
244,153,18-24,movies,0
305,118,18-24,news,0
451,287,25-34,movies,0
366,199,25-34,sports,0
216,122,35-44,news,0
380,272,25-34,movies,0
35,93,18-24,news,0
233,231,25-34,movies,0
9,77,18-24,tech,0
52,144,25-34,sports,0
372,4,18-24,tech,0
252,111,25-34,movies,0
409,255,25-34,movies,0
16,169,18-24,sports,0
